Tweet, Sentiment_Label
b'@blackandbolly The other songs are really good too. Though I may be biased as a fan. I also love the song with Bird\xe2\x80\xa6 https://t.co/X2IlYvSg0b',Positive
b'*Rubs hands like Birdman* https://t.co/wLj9KWk37K',Negative
b'@ron_icy @True_Ariez85 @SyAubreysMom @kiawasaki @NICKIMINAJ Bc she in a 360 and Birdman cutting the pie.',Negative
b'@SeanzieMilf Dudes housing suds',Negative
b'\xe2\x80\x9c.. Birdman \xe2\x80\x98ill break a nigga nose, lil nigga..\xe2\x80\x9d',Negative
b'5:39pm Murder City Nights by Radio Birdman from The Essential Radio Birdman (1974-1978)',Negative
b"Stunnin Like My Daddy - Lil' Wayne and Birdman (FULL) https://t.co/qFhdxjKcYQ",Positive
b'RT @MovQu: "\xd8\xa7\xd9\x84\xd8\xad\xd9\x82\xd9\x8a\xd9\x82\xd8\xa9 \xd8\xaf\xd8\xa7\xd8\xa6\xd9\x85\xd9\x8b\xd8\xa7 \xd9\x85\xd8\xab\xd9\x8a\xd8\xb1\xd8\xa9 \xd9\x84\xd9\x84\xd8\xa3\xd9\x87\xd8\xaa\xd9\x85\xd8\xa7\xd9\x85".\n- Birdman (2014) https://t.co/u0XNMSgyrQ',Negative
b'https://t.co/UqHVftQCVX https://t.co/Ws2YHLSOeG',Negative
b'\xe4\xbd\x95\xe6\x99\x82\xe3\x81\x90\xe3\x82\x89\xe3\x81\x84\xe3\x81\xab\xe8\xa1\x8c\xe3\x81\x91\xe3\x81\xb0\xe3\x81\x88\xe3\x81\x88\xe3\x82\x93\xe3\x82\x84',Negative
b'like no bs, if you really enjoy listening to Birdman rap... go get some help. ASAP https://t.co/N4J6c9fPxK',Positive
b'RT @GQPhrank: hearing Birdman rapping on a song will really ruin a nigga whole day',Positive
b'RT @DWBB89: \xe3\x80\x90\xe6\x98\x8e\xe6\x97\xa5\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xaf\xe5\x94\x90\xe6\xb4\xa5\xe3\x82\xb5\xe3\x83\xbc\xe3\x83\x89\xe3\x82\xb9\xe3\x83\x86\xe3\x83\xbc\xe3\x82\xb8\xe3\x80\x91\n\n\xe6\x97\xa9\xe3\x81\x84\xe3\x82\x82\xe3\x81\xae\xe3\x81\xa7\xe6\x98\x8e\xe6\x97\xa5\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xaf\xe3\x80\x81\xe6\x96\xb0\xe5\xb9\xb4\xe5\xba\xa6\xe5\xa4\xa7\xe4\xbc\x9a\xe3\x81\xae\xe6\x9c\x80\xe5\xbe\x8c\xe3\x81\xae\xe3\x82\xb9\xe3\x83\x86\xe3\x83\xbc\xe3\x82\xb8\xe3\x81\xa7\xe3\x81\x82\xe3\x82\x8b\xe5\x94\x90\xe6\xb4\xa5\xe3\x82\xb5\xe3\x83\xbc\xe3\x83\x89\xe3\x82\xb9\xe3\x83\x86\xe3\x83\xbc\xe3\x82\xb8\xe3\x81\x8c\xe9\x96\x8b\xe5\xb9\x95\xe3\x81\xa7\xe3\x81\x99\xef\xbc\x81\n\n\xe4\xbb\x8a\xe5\xa4\x8f\xe3\x81\xae\xe5\xa4\xa7\xe5\xad\xa6\xe8\xbb\x9f\xe5\xbc\x8f\xe9\x87\x8e\xe7\x90\x83\xe9\x80\xa3\xe7\x9b\x9f\xe3\x81\xae\xe5\x85\xa8\xe5\x9b\xbd\xe5\xa4\xa7\xe4\xbc\x9a\xe3\x81\xab\xe5\x87\xba\xe5\xa0\xb4\xe3\x81\x99\xe3\x82\x8b\xe5\xbc\xb7\xe8\xb1\xaa\xe3\x83\x81\xe3\x83\xbc\xe3\x83\xa0\xe3\x81\xae\xe5\x8f\x82\xe5\x8a\xa0\xe3\x82\x82\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x81\x97\xe3\x80\x81\xe5\xa4\xa7\xe5\xad\xa6\xe3\x82\x92\xe5\x8d\x92\xe6\xa5\xad\xe3\x81\x95\xe3\x82\x8c\xe3\x81\xa6\xe7\xa4\xbe\xe4\xbc\x9a\xe4\xba\xba\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x89\xe3\x82\x8c\xe3\x81\x9f\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\xe3\x81\xa7\xe5\x8f\x82\xe5\x8a\xa0\xe3\x81\x99\xe3\x82\x8b\xe3\x83\x81\xe3\x83\xbc\xe3\x83\xa0\xe3\x82\x82\xe2\x80\xa6',Negative
b'RT @incorrectfalcon: MJ: *getting in the car* They\xe2\x80\x99re following me, Birdman! They\xe2\x80\x99re following me! We gotta go! \n\nSam: *panicking and fumbl\xe2\x80\xa6',Negative
b'https://t.co/UqHVftQCVX https://t.co/DKiKVQkaZ0',Negative
b'RT @fredjane__: @x__101311 Woooooow \xf0\x9f\x98\xb3 i told him not to sign to birdman that\xe2\x80\x99s crazy',Negative
b'https://t.co/UqHVftQCVX https://t.co/KXyUuM7ST8',Negative
b'RT @SignoTauroRD: #TAURO \xe2\x99\x89 https://t.co/O2VXfQL201',Negative
b'https://t.co/UqHVftQCVX https://t.co/ayhwT0vDca',Negative
b'@Kali_KDoll What\xe2\x80\x99s good, bro? I ain\xe2\x80\x99t never scared! \xf0\x9f\x97\xa3 *rubs hands like birdman*',Positive
b'drake in blackface is a legendary L like wayne and birdman kissing each other on the lips shit is extremely bad',Negative
b'Que tan cara debe ser La la land o Birdman para que ni #Netflix ni #Prime las tenga en cat\xc3\xa1logo... o es q tienen vetada a Emma Stone o que?',Negative
b'https://t.co/UqHVftQCVX https://t.co/3Mt286qiLY',Negative
b'I don\xe2\x80\x99t care what J Prince gotta say until he get his son and Drake money from Birdman',Negative
b'RT @JALENBOE: "I DO THIS FOR MISS GLADIS BOI" - BIRDMAN \xf0\x9f\x98\x84',Negative
b'RT @KajinTheFireGod: Say what you want about Birdman, but he never forgot about Ms. Gladis.',Negative
b'RT @savagesuge: When Birdman said "I do this for ms.Gladis" \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5',Negative
b'@birdman_of_atl @Boogar_Sugar @KrangTNelson @KenTremendous  https://t.co/17Spm0ruQu',Negative
b'https://t.co/UqHVftQCVX https://t.co/3GGt80yZmC',Negative
b'RT @visIANary: "You know birdman bout to go off on a verse when he mention Ms. Gladis"',Negative
b'@MauLynn_ -carraspea un poco para aclararse la garganta y poder hablar m\xc3\xa1s audiblemente, a\xc3\xban sin soltarle la mano e\xe2\x80\xa6 https://t.co/zjDDXEw0mh',Negative
b'https://t.co/EgagfgZsjB https://t.co/yAJH0q5bXf',Negative
b'RT @WARPmagazine: \xc2\xa1Hoy hay 2x1 en la compra de boletos para #BIRDMANenAuditorio! No te quedes fuera y adquiere los tuyos con esta promoci\xc3\xb3n\xe2\x80\xa6',Negative
b'My president  https://t.co/aKvyhUP5Cq',Negative
b'https://t.co/UqHVftQCVX https://t.co/U3bNxVBfQp',Negative
b"@YoungManik @OVO40 Then had the nerve to come out and say direct every only at me\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82 what!?!?! Why he didn't direct\xe2\x80\xa6 https://t.co/Hef2aIm6q4",Positive
b'https://t.co/UqHVftQCVX https://t.co/QRNNuImyDM',Negative
b'https://t.co/EgagfgZsjB https://t.co/VgACZk6NWJ',Negative
b'https://t.co/UqHVftQCVX https://t.co/mC4PI0RTir',Negative
b'RT @HELL0MYFRIENDS: birdman handrub https://t.co/mcnfwsZZkJ',Negative
b'https://t.co/EgagfgZsjB https://t.co/fSRieKtcjI',Negative
b'I liked a @YouTube video https://t.co/JdJzUr8PAl Birdman - Y.U. MAD ft. Nicki Minaj, Lil Wayne',Negative
b'LOL someone told me today that if Birdman had just paid Pharrell. Drake would not be in the position he is today',Positive
b'1. Wayne got sabotaged by Birdman &amp; tried to transition to tidal &amp; failed. \n2. Nicki got literally dragged by Remy\xe2\x80\xa6 https://t.co/jsij9WLe5R',Negative
b'\xe3\x83\x9e\xe3\x82\xa4\xe3\x82\xa2\xe3\x83\x9f\xe3\x83\x92\xe3\x83\xbc\xe3\x83\x88\xe3\x81\xaf\xe9\x81\x8b\xe3\x81\x8c\xe8\x89\xaf\xe3\x81\x84\n\n\xe9\x96\x8b\xe5\xb9\x95\xe4\xba\x8c\xe9\x80\xa3\xe6\x88\xa6\xe3\x81\xa0\xe3\x81\x91\xe3\x81\xa9\xe3\x80\x81\xe4\xba\x8c\xe8\xa9\xa6\xe5\x90\x88\xe7\x9b\xae\xe3\x81\xaf\xe5\xbe\x97\xe6\x84\x8f\xe3\x81\xaa76ers\xe3\x80\x82\n\n\xe4\xbf\xba\xe7\x9a\x84\xe3\x81\xab\xe3\x81\xaf\xe9\x9d\xa2\xe7\x99\xbd\xe3\x81\x8f\xe3\x81\xaf\xe3\x81\xaa\xe3\x81\x84\xe3\x81\x8c\xe3\x80\x81\xe4\xbb\x8a\xe3\x81\xae76ers\xe3\x81\xa7\xe3\x81\xaf\xe9\x80\x86\xe7\xab\x8b\xe3\x81\xa1\xe3\x81\x97\xe3\x81\xa6\xe3\x82\x82\xe5\x8b\x9d\xe3\x81\xa6\xe3\x81\xaa\xe3\x81\x84\xe3\x81\xa0\xe3\x82\x8d\xe3\x81\x86\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\n\n\xe3\x83\x9c\xe3\x83\x83\xe3\x82\xb3\xe3\x83\x9c\xe3\x82\xb3\xe3\x81\xab\xe3\x82\x84\xe3\x82\x89\xe3\x82\x8c\xe3\x81\xaa\xe3\x81\x8d\xe3\x82\x83\xe3\x81\x84\xe3\x81\x84\xe3\x81\x8c\xe3\x83\xbb\xe3\x83\xbb',Negative
b'@Jestertainment_ @Vladui_B  https://t.co/fjBUSZtkQz',Negative
b'https://t.co/UqHVftQCVX https://t.co/a4OdHcqXQ8',Negative
b'@AndyRichter Metallica - whiplash,  Steve Perry - Foolish Heart, Usher - More, Metallica - Creeping Death Live from\xe2\x80\xa6 https://t.co/96eF2tLd0r',Positive
b'Damn Birdman!!!! https://t.co/sgILPOn5Br',Negative
b'RT @HOMAGE: We do-nut wanna let #NationalDonutDay end without a giveaway, so RT for a chance to win this new one. We\xe2\x80\x99ll pick 5 at random to\xe2\x80\xa6',Positive
b'https://t.co/EgagfgZsjB https://t.co/a4x4kzll2D',Negative
b'RT @krissrayNG: Now Lil Wayne gotta go collect all 7 Dragon Ballz and wish Aubrey back to life for Drake.\n\nBirdman got the first one on his\xe2\x80\xa6',Positive
b"RT @SecOfState70: This guy thinks he'll win a trade war with President Trump? https://t.co/rjVh2xO1aO",Positive
b'@CoachDre3000 @njsweeney11 It only took you 4 months to learn it. Ha',Negative
b'RT @KoeiTecmoUS: Since it was taking too much time to count... RT before 5:30 PM PDT for a chance on winning #DW9, #AttackOnTitan2, #Atelie\xe2\x80\xa6',Positive
b'\xe3\x81\x9d\xe3\x82\x93\xe3\x81\xaa\xe3\x81\xab\xe6\xb3\xa8\xe6\x84\x8f\xe5\x8a\x9b\xe3\x81\x8c\xe3\x81\x82\xe3\x81\xa3\xe3\x81\x9f\xe3\x82\x89\xe3\x80\x81\xe3\x81\x82\xe3\x82\x93\xe3\x81\xaa\xe3\x81\xa8\xe3\x81\x93\xe3\x82\x8d\xe3\x81\xab\xe3\x81\xb6\xe3\x81\xa4\xe3\x81\x8b\xe3\x82\x8b\xe3\x82\x82\xe3\x82\x93\xe3\x81\x8b\xe3\x80\x82 #Bbot',Negative
b'Rick Ross also went after Birdman too not to long ago, then the whole fall out between Jay &amp; Ye. Young Money/Cash M\xe2\x80\xa6 https://t.co/IbQbVXfNMg',Positive
b'06/02 08:00 PR\xe4\xbd\x9c\xe5\x93\x81_3 @mutou_ayaka  @birdman_teppei @planetplus_av\n#\xe6\xad\xa6\xe8\x97\xa4\xe3\x81\x82\xe3\x82\x84\xe3\x81\x8b  #BIRDMAN\xe9\x89\x84\xe5\xb9\xb3  \n\xe2\x96\xbc\xe7\x94\xb7\xe6\xa0\xb9\xe3\x81\xab\xe5\xa0\x95\xe3\x81\xa1\xe3\x81\x9f\xe4\xb8\x89\xe5\x8d\x81\xe8\xb7\xaf\xe5\xa6\xbb \xe6\xad\xa6\xe8\x97\xa4\xe3\x81\x82\xe3\x82\x84\xe3\x81\x8b https://t.co/NDjRQqK4wq',Negative
b'@Birdman_21 @njsweeney11 I\xe2\x80\x99m always gonna love teddy &amp; hope he kills it. But he\xe2\x80\x99s not in the same class as cousins',Positive
b'i miss when lil wayne and birdman were together',Negative
b"RT @TennisChannel: UPDATE: He's okay! https://t.co/SQXsGkr2yD",Positive
b'RT @Noodlesthe1st: @SomeonesAnIdiot When the ball boy shows up the next day https://t.co/IkZ27og6Fs',Negative
b'RT @LouieLouie_J: Birdman when Drake\xe2\x80\x99s son turns 16 https://t.co/I32Gl8DVgn',Negative
b'RT NYC_DOT "ferrari_birdman We work with a research contractor for our annual Citywide Mobility Study. Participants\xe2\x80\xa6 https://t.co/aAXVrSuKhv',Negative
b'@ferrari_birdman We work with a research contractor for our annual Citywide Mobility Study. Participants are random\xe2\x80\xa6 https://t.co/pHhfijiKeZ',Negative
b'birdman handrub https://t.co/mcnfwsZZkJ',Negative
b'RT @MiamiHEAT: #HEATgame Final: HEAT 93 - Celtics 86. King James 29pts 8rebs 4asts, CB 16pts 6rebs, Birdman 13pts 7rebs, B-Easy 9pts, Rio 8\xe2\x80\xa6',Negative
b"@Ronnie2K @NBA2K_MyTEAM CURRY WARMING UP RONNIE! HELP, HE'S GOT MOUTHPIECES LINED UP ON A TABLE! HE'S DOING THE BIR\xe2\x80\xa6 https://t.co/J6Dsky2pcm",Negative
